codevac;codedossier;description;ordre;estb;esth;famille;image
2;14418;PORTE-BAGUE figurant un perroquet sur son perchoir.;180;30;40;17;119583.jpg
2;14418;KPM. Deux TASSES et SOUS-TASSES à moka en porcelaine, on y joint une sous tasse.;179;0;0;17;119584.jpg
2;14418;Deux BOULES presse papiers;178;0;0;17;119585.jpg
2;14418;Deux CARAFES en cristal dont une BACCARAT;177;0;0;17;119586.jpg
2;3934;Deux parapluies;129;0;0;17;119587.jpg
2;3934;BERGER à Antibes. Suite de onze assiettes en faïence à décor de poissons et une saucière au modèle. (un éclat);128;0;0;17;119508.jpg
2;3934;Service de verres en cristal taillé comprenant neuf coupes à champagne, onze verres à eau, dix verres à vin rouge, onze verres à vin blanc et un verre porto;127;0;0;17;119509.jpg
2;3934;Ensemble de verreries dont carafes cristal et verres anciens;126;0;0;17;119510.jpg
2;3934;Suite de douze PORTE COUTEAUX en métal ;125;0;0;17;119511.jpg
2;3934;Le goûter. Deux plaques en biscuit.;124;0;0;17;119512.jpg
2;3934;Curieuse lampe pendulette en métal argenté, USA (accident);123;0;0;17;119513.jpg
2;3934;BIOT. Ensemble de verreries.;122;0;0;17;119515.jpg
2;3934;Coupe muselet en bois et métal, la lame marquée CW (usures);121;0;0;17;119516.jpg
2;3934;Bibelots divers dont poire à poudre boîte compas étui à cigarettes etc.;120;0;0;17;119517.jpg
2;3934;Deux MINIATURES peintes;119;0;0;17;119518.jpg
2;3934;Lot pour l'écriture comprenant un necessaire en argent manque une pièce et coupe papier en bronze;118;0;0;17;119545.jpg
2;6454;Une paire de vases rouleaux, en faïence émaillée, à décor floral et de hérons (accidents). ;133;80;100;17;119546.jpg
2;4009;Un coucou allemand. ;132;50;100;17;119547.jpg
2;2468;Un porte-parapluie en faïence, à décor bleu sur fond blanc, Chine. ;98;0;0;17;119548.jpg
2;2468;Un lot de bijoux fantaisie. ;97;0;0;17;119549.jpg
2;2468;Porte-revue en fer forgé. ;96;0;0;17;119550.jpg
2;2468;Une panier en fer forgé, à décor de roses, la vasque en verre marmoréen rose et pourpre (légers éclats). ;95;0;0;17;119551.jpg
2;2468;Une paire de lampes de chevet, bleues et or, Chine. ;94;0;0;17;119552.jpg
2;2468;Lion marchant, bronze. ;93;0;0;17;119553.jpg
2;2468;Un vase en faïence bleue à coulures vertes, application d'étain (quelques éclats). ;92;0;0;17;119554.jpg
2;87;A. Levé, Bouquet de fleurs dans un pichet, huile sur toile. ;70;0;0;17;119555.jpg
2;87;Barbier, Lavandière et vaches s'abreuvant, aquarelle. ;69;0;0;17;119556.jpg
2;87;Aquarelle, Promenade au bord de la rivière. ;68;0;0;17;119557.jpg
2;87;Iglesias, Rue de Séville, huile sur Isorel. ;67;0;0;17;119558.jpg
2;87;Un katana en l'état, le fourreau rapporté. ;66;0;0;17;119559.jpg
2;87;Deux vases en faïence blanche craquelée. ;65;0;0;17;119560.jpg
2;87;Plateau en tôle rouge à décor floral. ;64;0;0;17;119561.jpg
2;87;Jardinière ovale en bois et métal. ;63;0;0;17;119562.jpg
2;87;CAPRON, VALLAURIS. Cache-pot à décor vert et noir sur fond chocolat. ;62;0;0;17;119563.jpg
2;87;DAGE. Vase en céramique à décor de feuillages et de baies bleues. ;61;0;0;17;119564.jpg
2;13996;CLIP en jade à décor sculpté de fleurs et feuillages, la monture en métal rehaussée de pierres à l'imitation du diamant;156;80;100;10;119565.jpg
2;14406;LOT comprenant un collier en serpentine, un collier en corail, une paire de créoles corail et un lot de boutons d emanchette;167;0;0;10;119566.jpg
2;11982;LOT de COQS englais;144;0;0;10;119567.jpg
2;11982;MONTRE GOUSSET en métal chromé vers 1930;143;30;33;10;119568.jpg
2;11982;JAEGER. PENDULETTE à poser en métal doré mécanisme avec boite à musique;142;100;110;10;119569.jpg
2;14418;Pecoraro, Calèches à Paris, aquarelle. ;173;120;150;17;119570.jpg
2;14418;Rue animée à Montmartre, datée 1957, huile sur toile. ;172;80;100;17;119571.jpg
2;14418;Yves Chaix, La griserie de la course, huile sur cuivre. ;171;0;0;17;119572.jpg
2;14418;Smet, Les bigoudènes, huile sur toile. ;170;30;40;17;119606.jpg
2;14418;Bretonnes et chapelle, huile sur toile marouflée sur carton. ;169;50;60;17;119607.jpg
2;14418;Marc Dugrés, Port de Sauzon, huile sur panneau. ;168;100;120;17;119608.jpg
2;13548;Une paire de bougeoirs à trois bras, en bronze doré, électrifiés. ;150;0;0;17;119609.jpg
2;13548;Une paire de petites girandoles à pendeloques. ;149;0;0;17;119610.jpg
2;13548;Une paire de lampes de chevet en bronze, à deux lumières, de style Louis XV. On y joint une autre. ;148;0;0;17;119611.jpg
2;14634;Quatre lampes de cocher , BRC. ;215;0;0;17;119612.jpg
2;14634;Huile sur toile, Portrait de femme africaine, sans châssis. ;214;0;0;17;119613.jpg
2;14634;Une mandoline napolitaine, Gelas, Gaudet, fabricant à Paris, avec son étui. ;213;0;0;17;119614.jpg
2;14634;Brûle parfum en bronze, le couvercle en bois (accident à un pied), travail asiatique. ;212;0;0;17;119615.jpg
2;14634;Nu aux arums, huile sur peau. Jean Tyboud, Nu de dos., gravure. ;211;0;0;17;119616.jpg
2;14634;Une boite à sel, en bois sculpté (manque un pied, et accidents). ;210;0;0;17;119617.jpg
2;14634;Une balance. joint au lot 210 et 208;209;0;0;17;119618.jpg
2;14634;Une lampe à pétrole, la base en métal à décor de chardons,  et un verre de lampe. joint au lot 209 et 210;208;0;0;17;119619.jpg
2;14634;Une boîte à cigarettes, bois et os. ;207;0;0;17;119620.jpg
2;14634;Un poudrier en forme de montre de gousset, métal doré. ;206;0;0;17;119621.jpg
2;14634;Un vase en porcelaine, à décor d'hirondelles en vol, monté en lampe, Japon.;205;0;0;17;119622.jpg
2;14634;Une cave à liqueur, trois carafes en cristal. ;204;0;0;17;119623.jpg
2;14632;E. MOREL. Jour de marché, huile sur carton. ;203;80;100;17;119624.jpg
